X-pos,Y-pos
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(666, 421)"
"(668, 421)"
"(668, 421)"
"(670, 421)"
"(672, 421)"
"(681, 425)"
"(692, 428)"
"(694, 429)"
"(698, 430)"
"(699, 431)"
"(703, 432)"
"(708, 433)"
"(710, 434)"
"(713, 435)"
"(715, 435)"
"(719, 437)"
"(722, 437)"
"(727, 438)"
"(731, 439)"
"(735, 441)"
"(739, 442)"
"(749, 445)"
"(754, 446)"
"(759, 447)"
"(761, 448)"
"(766, 450)"
"(771, 451)"
"(776, 453)"
"(778, 454)"
"(784, 455)"
"(793, 458)"
"(805, 462)"
"(815, 465)"
"(824, 468)"
"(830, 470)"
"(834, 471)"
"(844, 476)"
"(852, 479)"
"(858, 481)"
"(865, 484)"
"(877, 488)"
"(893, 494)"
"(903, 498)"
"(906, 500)"
"(914, 503)"
"(917, 504)"
"(925, 507)"
"(930, 509)"
"(935, 511)"
"(937, 512)"
"(944, 515)"
"(950, 518)"
"(990, 538)"
"(993, 540)"
"(995, 541)"
"(996, 541)"
"(998, 543)"
"(999, 543)"
"(1001, 544)"
"(1002, 545)"
"(1003, 546)"
"(1005, 546)"
"(1006, 547)"
"(1008, 548)"
"(1010, 549)"
"(1011, 549)"
"(1013, 551)"
"(1014, 551)"
"(1016, 551)"
"(1017, 552)"
"(1021, 553)"
"(1022, 553)"
"(1026, 554)"
"(1027, 554)"
"(1030, 555)"
"(1037, 556)"
"(1045, 558)"
"(1052, 559)"
"(1061, 560)"
"(1065, 560)"
"(1070, 561)"
"(1075, 561)"
"(1077, 561)"
"(1082, 561)"
"(1088, 561)"
"(1093, 562)"
"(1099, 562)"
"(1105, 562)"
"(1110, 562)"
"(1126, 563)"
"(1132, 563)"
"(1141, 563)"
"(1147, 563)"
"(1153, 563)"
"(1160, 563)"
"(1166, 563)"
"(1178, 563)"
"(1190, 563)"
"(1196, 563)"
"(1209, 563)"
"(1214, 563)"
"(1221, 563)"
"(1227, 563)"
"(1234, 563)"
"(1241, 563)"
"(1248, 563)"
"(1254, 561)"
"(1261, 561)"
"(1274, 561)"
"(1288, 560)"
"(1295, 558)"
"(1305, 556)"
"(1312, 556)"
"(1318, 554)"
"(1325, 554)"
"(1329, 553)"
"(1339, 551)"
"(1345, 549)"
"(1352, 546)"
"(1358, 546)"
"(1364, 544)"
"(1373, 541)"
"(1376, 541)"
"(1382, 539)"
"(1388, 537)"
"(1394, 535)"
"(1402, 533)"
"(1408, 531)"
"(1414, 530)"
"(1419, 528)"
"(1424, 526)"
"(1430, 523)"
"(1481, 503)"
"(1484, 502)"
"(1491, 499)"
"(1494, 497)"
"(1497, 495)"
"(1502, 493)"
"(1505, 491)"
"(1508, 489)"
"(1511, 487)"
"(1513, 486)"
"(1516, 484)"
"(1522, 480)"
"(1524, 478)"
"(1527, 477)"
"(1529, 475)"
"(1532, 473)"
"(1537, 471)"
"(1539, 468)"
"(1542, 466)"
"(1545, 464)"
"(1547, 461)"
"(1549, 459)"
"(1551, 457)"
"(1552, 455)"
"(1555, 452)"
"(1557, 449)"
"(1559, 447)"
"(1560, 445)"
"(1561, 444)"
"(1563, 441)"
"(1564, 439)"
"(1566, 437)"
"(1567, 435)"
"(1567, 433)"
"(1570, 429)"
"(1571, 427)"
"(1572, 425)"
"(1572, 424)"
"(1572, 422)"
"(1573, 422)"
"(1573, 421)"
"(1574, 420)"
"(1574, 419)"
"(1574, 419)"
"(1574, 419)"
"(1574, 418)"
"(1574, 418)"
"(1574, 417)"
"(1574, 417)"
"(1574, 417)"
"(1574, 416)"
"(1574, 415)"
"(1574, 414)"
"(1574, 413)"
"(1571, 412)"
"(1570, 410)"
"(1567, 407)"
"(1564, 405)"
"(1562, 404)"
"(1558, 401)"
"(1556, 400)"
"(1553, 398)"
"(1548, 396)"
"(1539, 390)"
"(1533, 386)"
"(1527, 384)"
"(1522, 381)"
"(1519, 379)"
"(1515, 377)"
"(1509, 375)"
"(1503, 372)"
"(1499, 371)"
"(1492, 368)"
"(1487, 367)"
"(1479, 363)"
"(1473, 362)"
"(1466, 360)"
"(1459, 358)"
"(1453, 355)"
"(1443, 352)"
"(1435, 350)"
"(1423, 345)"
"(1413, 342)"
"(1404, 339)"
"(1392, 334)"
"(1270, 299)"
"(1257, 296)"
"(1249, 293)"
"(1240, 290)"
"(1231, 287)"
"(1222, 286)"
"(1211, 283)"
"(1203, 281)"
"(1197, 280)"
"(1185, 279)"
"(1179, 278)"
"(1171, 276)"
"(1164, 275)"
"(1156, 274)"
"(1147, 272)"
"(1140, 270)"
"(1132, 269)"
"(1121, 266)"
"(1115, 264)"
"(1106, 261)"
"(1096, 259)"
"(1083, 256)"
"(1070, 253)"
"(1056, 251)"
"(1044, 249)"
"(1033, 247)"
"(1022, 246)"
"(1012, 244)"
"(1005, 244)"
"(987, 241)"
"(977, 241)"
"(968, 240)"
"(959, 239)"
"(952, 239)"
"(939, 238)"
"(932, 238)"
"(924, 237)"
"(910, 236)"
"(887, 236)"
"(863, 235)"
"(850, 235)"
"(829, 235)"
"(815, 235)"
"(802, 235)"
"(787, 235)"
"(773, 235)"
"(764, 237)"
"(750, 239)"
"(735, 240)"
"(722, 242)"
"(708, 245)"
"(700, 247)"
"(684, 250)"
"(669, 256)"
"(658, 260)"
"(646, 265)"
"(630, 275)"
"(621, 281)"
"(611, 287)"
"(602, 294)"
"(596, 298)"
"(590, 303)"
"(572, 319)"
"(557, 334)"
"(540, 350)"
"(533, 358)"
"(522, 371)"
"(503, 392)"
"(488, 413)"
"(480, 425)"
"(469, 442)"
"(457, 464)"
"(451, 473)"
"(444, 486)"
"(428, 520)"
"(416, 545)"
"(411, 560)"
"(408, 569)"
"(406, 578)"
"(402, 591)"
"(401, 600)"
"(399, 612)"
"(399, 622)"
"(398, 648)"
"(400, 673)"
"(431, 784)"
"(434, 791)"
"(440, 802)"
"(448, 816)"
"(454, 826)"
"(462, 836)"
"(469, 847)"
"(479, 856)"
"(487, 863)"
"(503, 875)"
"(511, 881)"
"(531, 895)"
"(543, 902)"
"(552, 908)"
"(568, 917)"
"(575, 921)"
"(586, 928)"
"(597, 935)"
"(612, 941)"
"(623, 946)"
"(635, 951)"
"(647, 955)"
"(664, 959)"
"(686, 963)"
"(699, 966)"
"(713, 968)"
"(727, 969)"
"(740, 971)"
"(760, 973)"
"(781, 973)"
"(794, 975)"
"(811, 976)"
"(826, 976)"
"(840, 977)"
"(861, 978)"
"(897, 979)"
"(913, 980)"
"(930, 980)"
"(965, 980)"
"(987, 980)"
"(1021, 978)"
"(1044, 977)"
"(1061, 976)"
"(1088, 974)"
"(1112, 971)"
"(1145, 966)"
"(1163, 963)"
"(1186, 957)"
"(1195, 955)"
"(1225, 946)"
"(1241, 940)"
"(1259, 933)"
"(1276, 925)"
"(1293, 916)"
"(1316, 904)"
"(1335, 892)"
"(1354, 880)"
"(1373, 868)"
"(1400, 848)"
"(1424, 827)"
"(1461, 796)"
"(1490, 769)"
"(1513, 748)"
"(1528, 735)"
"(1597, 675)"
"(1619, 655)"
"(1641, 635)"
"(1670, 605)"
"(1689, 583)"
"(1700, 568)"
"(1711, 549)"
"(1718, 535)"
"(1722, 521)"
"(1725, 509)"
"(1727, 497)"
"(1727, 482)"
"(1725, 471)"
"(1721, 461)"
"(1717, 451)"
"(1704, 427)"
"(1698, 417)"
"(1693, 407)"
"(1685, 399)"
"(1678, 386)"
"(1666, 372)"
"(1553, 297)"
"(1542, 291)"
"(1523, 284)"
"(1512, 280)"
"(1502, 277)"
"(1488, 273)"
"(1478, 271)"
"(1468, 268)"
"(1457, 268)"
"(1438, 267)"
"(1412, 265)"
"(1390, 264)"
"(1375, 264)"
"(1360, 263)"
"(1339, 263)"
"(1323, 262)"
"(1301, 261)"
"(1284, 261)"
"(1267, 261)"
"(1228, 260)"
"(1207, 259)"
"(1192, 259)"
"(1171, 258)"
"(1137, 257)"
"(1114, 257)"
"(1096, 257)"
"(1073, 257)"
"(1048, 257)"
"(1030, 257)"
"(1004, 259)"
"(980, 260)"
"(963, 262)"
"(952, 263)"
"(918, 266)"
"(884, 272)"
"(864, 277)"
"(845, 282)"
"(824, 288)"
"(803, 295)"
